annee,code_insee,secteur,energie,conso_reel_mwh,conso_normal_mwh
2017,91458,RES,ELEC,13068.19,13306.58
2017,91461,RES,ELEC,13276.39,13557.62
2017,91463,RES,ELEC,4155.13,4240.15
2017,91468,RES,ELEC,7969.08,8176.95
2017,91469,RES,ELEC,3533.35,3599.04
2017,91471,RES,ELEC,48507.28,49523.52
2017,91473,RES,ELEC,607,620.25
2017,91477,RES,ELEC,74135.05,75590.82
2017,91479,RES,ELEC,22414.06,22895.53
2017,91482,RES,ELEC,2356.97,2411.48
2017,91494,RES,ELEC,12598.45,12916.46
2017,91495,RES,ELEC,1118.54,1146.03
2017,91507,RES,ELEC,1318.23,1343.97
2017,91508,RES,ELEC,1147.68,1170.82
2017,91511,RES,ELEC,7605.85,7794.88
2017,91514,RES,ELEC,22321.69,22781.4
2017,91519,RES,ELEC,1575.97,1607.53
2017,91521,RES,ELEC,54835.54,55801.73
2017,91525,RES,ELEC,4962.12,5075.94
2017,91526,RES,ELEC,364.67,371.53
2017,91533,RES,ELEC,7011.51,7180.68
2017,91534,RES,ELEC,11554.04,11770.07
2017,91538,RES,ELEC,3671.35,3759.86
2017,91540,RES,ELEC,16346.09,16709.81
2017,91544,RES,ELEC,2172.87,2212.85
2017,91546,RES,ELEC,4415.95,4510.18
2017,91547,RES,ELEC,2157.92,2214.09
2017,91549,RES,ELEC,88454.69,90145.61
2017,91552,RES,ELEC,26310.59,26929.97
2017,91553,RES,ELEC,21533.77,21974.92
2017,91556,RES,ELEC,1631.29,1664.1
2017,91560,RES,ELEC,1784.96,1819
2017,91568,RES,ELEC,5697.69,5814.96
2017,91570,RES,ELEC,39238.4,39804.33
2017,91573,RES,ELEC,24061.87,24469.03
2017,91577,RES,ELEC,17979.42,18375.88
2017,91578,RES,ELEC,1281.01,1300.88
2017,91579,RES,ELEC,9089.48,9285.42
2017,91581,RES,ELEC,3837.26,3932.77
2017,91587,RES,ELEC,19859.76,20370.34
2017,91589,RES,ELEC,86874.9,88496.76
2017,91593,RES,ELEC,6306.91,6441
2017,91599,RES,ELEC,3945,4015.9
2017,91600,RES,ELEC,25436.07,26092.97
2017,91602,RES,ELEC,1164.6,1187.61
2017,91613,RES,ELEC,903.09,925.57
2017,91617,RES,ELEC,10105.75,10326.57
2017,91619,RES,ELEC,987.98,1007.89
2017,91629,RES,ELEC,2679.06,2744.75
2017,91630,RES,ELEC,6142.86,6285.38
2017,91631,RES,ELEC,10048.83,10267.35
2017,91634,RES,ELEC,5166.83,5291.45
2017,91635,RES,ELEC,6643.08,6779.57
2017,91639,RES,ELEC,2867.99,2928.13
2017,91645,RES,ELEC,50149.82,51363.52
2017,91648,RES,ELEC,7342,7491.93
2017,91649,RES,ELEC,7965.16,8117.45
2017,91654,RES,ELEC,2497,2551.3
2017,91657,RES,ELEC,65050.96,66232.06
2017,91659,RES,ELEC,16809.83,17195.98
2017,91661,RES,ELEC,32197.26,32936.57
2017,91662,RES,ELEC,2946.54,3014.28
2017,91665,RES,ELEC,24774.1,25341.63
2017,91666,RES,ELEC,10720.31,11002.2
2017,91667,RES,ELEC,24139.43,24758.6
2017,91671,RES,ELEC,2938,3010.76
2017,91679,RES,ELEC,5036.99,5171.55
2017,91685,RES,ELEC,11044.44,11236.11
2017,91687,RES,ELEC,69061.77,70451.43
2017,91689,RES,ELEC,25131.8,25743.6
2017,91691,RES,ELEC,77247.73,78990.99
2017,91692,RES,ELEC,42099.52,42352.74
2017,92002,RES,ELEC,149499.6,153347.56
2017,92004,RES,ELEC,190053.46,196472.25
2017,92007,RES,ELEC,66647.2,68246.99
2017,92009,RES,ELEC,60466.86,62104.59
2017,92012,RES,ELEC,312590.2,322595.77
2017,92014,RES,ELEC,46759.53,48145.3
2017,92019,RES,ELEC,64807.79,66679.55
2017,92020,RES,ELEC,83016.92,85795.54
2017,92022,RES,ELEC,44026.64,45176.97
2017,92023,RES,ELEC,111969.8,114468.26
2017,92024,RES,ELEC,118559.88,122191.24
2017,92025,RES,ELEC,154992.51,158169.65
2017,92026,RES,ELEC,192853.49,198340.84
2017,92032,RES,ELEC,45942.6,47157.08
2017,92033,RES,ELEC,45826.4,47043.36
2017,92035,RES,ELEC,76852.02,79506.39
2017,92036,RES,ELEC,72254.76,73525.06
2017,92040,RES,ELEC,175749.08,182238.73
2017,92044,RES,ELEC,174637.04,180316.52
2017,92046,RES,ELEC,65073.56,67311.8
2017,92047,RES,ELEC,5189.04,5268.76
2017,92048,RES,ELEC,87944.4,89748.24
2017,92049,RES,ELEC,119601.29,124086.8
2017,92050,RES,ELEC,169545.52,173444.91
2017,92051,RES,ELEC,176160.58,181511.6
2017,92060,RES,ELEC,68044.44,70291.6
2017,92062,RES,ELEC,121728.28,125740.92
2017,92063,RES,ELEC,196196.84,202126.17
2017,92064,RES,ELEC,73712.66,76005.17
2017,92071,RES,ELEC,48743.9,50175.79
2017,92072,RES,ELEC,54289.88,55711.68
2017,92073,RES,ELEC,109314.9,112290.13
2017,92075,RES,ELEC,58529.05,60562.8
2017,92076,RES,ELEC,22618.81,23132.85
2017,92077,RES,ELEC,24445.66,25036.38
2017,92078,RES,ELEC,40302.7,41253.09
2017,93001,RES,ELEC,155860.65,161207.19
2017,93005,RES,ELEC,152409.9,155297.01
2017,93006,RES,ELEC,69800.5,71330.73
2017,93007,RES,ELEC,99904.58,101834.58
2017,93008,RES,ELEC,79627.31,81166.91
2017,93010,RES,ELEC,91788.25,93727.07
2017,93013,RES,ELEC,35002.58,36130.34
2017,93014,RES,ELEC,44025.06,44944.2
2017,93015,RES,ELEC,13411.25,13790.75
2017,93027,RES,ELEC,75519.97,77693.15
2017,93029,RES,ELEC,131110.6,134319.24
2017,93030,RES,ELEC,16171.43,16549.54
2017,93031,RES,ELEC,88945.46,91491.29
2017,93032,RES,ELEC,82306.3,84194.78
2017,93033,RES,ELEC,20665.95,21184.21
2017,93039,RES,ELEC,13044,13402.42
